duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
97,tcp,telnet,SF,32701,36207,0,2,0,0,2,0,3,1,1,1,2,1,1,1,1,1,55,94,0.5719564727479653,0.5484690523835062,0.23709555839649954,0.30606394885360755,0.8252271579653299,0.671430960758198,0.1055300628025927,38,34,0.19468699724114358,0.4335823500339999,0.9628719091948769,0.56021988706123,0.13310601753067453,0.30041883993371554,0.42393565336590255,0.3624780164058903,anomaly
59,udp,http,REJ,82011,84833,1,2,1,2,4,0,3,0,2,2,0,0,0,1,1,0,29,54,0.9718725349295546,0.8987790552502336,0.4958528774555646,0.26111724432160754,0.5002730308349489,0.024932534665029538,0.5922313350910756,73,12,0.5523217333166839,0.22313472988046879,0.24763774952167894,0.20086007308015796,0.29479086490996476,0.47548511451769393,0.3152694048782926,0.9128216497716243,normal
2,icmp,ssh,SF,49437,70231,0,2,1,2,4,1,0,1,1,2,1,0,0,2,0,0,62,72,0.8467296417077589,0.6882268329725428,0.10783666982524187,0.2961416471369078,0.2698517403456846,0.23562775628554977,0.6552803752282912,81,54,0.3846832586245532,0.4924678358763742,0.9956633028023826,0.2959070900682186,0.9039441597700395,0.9557921054117018,0.16708746353097004,0.17977196935563722,normal
0,tcp,telnet,RSTR,84841,1006,1,0,2,2,1,1,4,0,2,1,2,0,1,2,1,1,14,79,0.44485006106816427,0.1357988563501249,0.09884249166859271,0.3606234748070922,0.6207054968000881,0.2080716981913151,0.7579502204615923,5,86,0.5580270391020311,0.41723185886587844,0.17614944096847895,0.837226330078445,0.4114606114408613,0.5240963736388385,0.15581790744045354,0.5782135095231155,anomaly
30,tcp,smtp,S0,77034,7114,0,2,1,1,0,0,2,1,1,0,3,1,1,2,1,0,17,88,0.6645738587558458,0.11609002439548743,0.9077646516371682,0.24431174993363847,0.9570626321978061,0.937889071422054,0.9040092131271771,55,42,0.9324363194633998,0.9797850499599133,0.020651849978170045,0.8104628564767061,0.7934967581372095,0.8484332703679989,0.6139316860429521,0.3207780136701538,anomaly
55,udp,ftp,REJ,32869,95331,1,2,2,0,1,1,3,1,2,1,3,1,2,2,1,0,31,39,0.784231476802513,0.9114498132754272,0.4578562892629092,0.9425812722231232,0.6011593633442057,0.14490175170784914,0.7660044556570162,7,72,0.48580059044297197,0.9174979979206447,0.8956936134442833,0.8950732750035426,0.20292815986752388,0.8263747768130218,0.04708416639242352,0.736565434119525,anomaly
86,udp,http,RSTR,36603,83063,0,0,0,0,0,0,0,0,2,4,2,1,2,2,1,0,13,27,0.024328820578248478,0.48760954989240035,0.3615671539511369,0.4201017139126546,0.6296194490394307,0.8907754507830942,0.23574366615006848,83,67,0.034528823772123185,0.5822058996660374,0.5800172518401155,0.48224351492846407,0.49360544236012294,0.9412889720977133,0.5943303752315523,0.15826247461439225,anomaly
83,udp,http,REJ,4235,14027,1,1,1,2,2,1,4,0,1,1,1,1,0,0,0,0,61,80,0.5883659866252704,0.9236729919892973,0.9490718266442607,0.11411326519726817,0.9347506812596642,0.12435822136816377,0.23565515946436977,54,42,0.5809179862794438,0.1765097779151199,0.3514099999841287,0.5640857336934639,0.12747053914646023,0.3057006431589967,0.7746493721988065,0.5960531803207838,normal
79,tcp,ssh,SF,12015,93332,1,1,2,1,3,0,4,1,0,2,0,0,1,2,0,1,81,30,0.9845286134127084,0.7362177155430164,0.3990006786071698,0.4676586100273209,0.5152751003077449,0.6506979862804624,0.9150871955618969,15,39,0.32574553017531793,0.556956991421886,0.5133396624570512,0.7705895081626999,0.4128984000307291,0.04344567624703444,0.6010148669588327,8.432211304310044e-06,normal
45,tcp,telnet,REJ,14601,99528,0,2,1,2,4,0,1,0,1,3,4,2,1,1,0,0,98,86,0.9471806498263313,0.9933484606354009,0.33624212805358034,0.18443190186135872,0.9963574617147924,0.31988596817333814,0.7901335694151728,1,30,0.7781348843958051,0.7920822783237723,0.2607269549074286,0.23926553311959897,0.2622819668617441,0.10395373374655481,0.8265787680459591,0.2525637555098975,anomaly
31,tcp,smtp,RSTR,7509,93990,1,1,1,1,1,1,0,0,1,4,3,1,2,1,1,1,51,30,0.8324403947624444,0.8712277426609734,0.2729861711578423,0.21613064250131997,0.15966204353307545,0.3160023685469916,0.7822464303109049,63,2,0.46992847029467544,0.038027111977306904,0.6347588502816244,0.8230935912826374,0.5494315958462039,0.5712975189119431,0.26525870404845764,0.1621652115107044,anomaly
80,icmp,smtp,RSTR,39484,77977,0,0,0,2,2,0,0,0,0,0,1,0,1,0,1,0,21,25,0.1062140931306853,0.41421219226180517,0.5650628207470954,0.2850414176448327,0.5370398430123202,0.9982711001214651,0.719713660110536,10,99,0.7413707378316422,0.43402934865482334,0.6164685583425663,0.01755747982895517,0.780406213075193,0.5302779721607528,0.07717151761165586,0.2098307119820263,anomaly
17,icmp,telnet,S0,16918,30189,0,2,2,2,1,1,1,0,2,1,1,0,0,2,0,1,13,3,0.9940414525161517,0.7582278275515905,0.5584105922757114,0.12475985602594675,0.21290084101438145,0.2260428577929241,0.2672019912537813,87,16,0.9088209953483137,0.042646914829454596,0.08019228903968934,0.7976598888118275,0.9383703713480281,0.29845303317404537,0.7209906169235091,0.860426292306112,anomaly
67,udp,http,REJ,40975,181,0,0,0,0,0,0,2,0,0,4,1,1,0,1,1,0,77,57,0.6095381531379492,0.471228167319945,0.0161941759969616,0.72111893258,0.4533263683406926,0.2025600679344426,0.8474103424070455,82,79,0.36227399127245097,0.24395793754792383,0.9106881006010767,0.7759079478525069,0.28384278126488904,0.24871329739932568,0.8281303903912739,0.9147965854669137,anomaly
34,icmp,telnet,SF,41520,12812,0,1,0,1,4,0,3,1,1,2,0,1,0,1,1,0,33,78,0.2229082494294905,0.2330722930991146,0.6540623239573066,0.7919464747312489,0.1705739095017681,0.5893347490979636,0.14288467808012606,3,38,0.9893779123908035,0.09211465960092868,0.46052534222510844,0.30177994984259315,0.7431316957093409,0.7093814296129476,0.5016765365654541,0.7550315730089154,anomaly
99,icmp,smtp,REJ,35693,22716,1,1,0,0,0,0,1,0,0,0,1,0,2,2,0,1,85,22,0.6742686896143166,0.2410292587563595,0.7883071030264536,0.39428492191560005,0.22252877152580608,0.740752397028573,0.3500176092979035,2,65,0.14981286593978516,0.9605782822250823,0.19515413208222376,0.727912358161098,0.8855923372820323,0.340502872002593,0.8206169399887553,0.5901065298506963,anomaly
22,udp,telnet,S0,26959,40218,0,2,2,0,0,1,3,0,2,1,1,1,0,0,1,0,79,68,0.8565235620796813,0.3973221444618136,0.6159645424303896,0.6889925394335452,0.2108000496322635,0.9825045235234476,0.3464745399364295,14,68,0.6439316818931886,0.1688286527803552,0.30738385943601565,0.21399361416305251,0.12485187705032996,0.6039517859328047,0.4579191554552663,0.23085651586305422,anomaly
78,udp,http,SF,909,26633,1,1,2,2,0,0,0,0,1,1,2,1,2,2,1,1,55,59,0.11232776084763585,0.11146622601217537,0.8698881382840377,0.3889542901706956,0.32003133902400793,0.7014137742374608,0.5601321417080347,67,96,0.03476760313124483,0.15010388233625194,0.8662217548376064,0.5762326376538783,0.5859322281052156,0.7122935865082771,0.19852763392245953,0.27472137842529865,normal
12,tcp,ssh,SF,75141,10939,1,2,1,1,2,1,1,0,1,0,2,2,2,2,1,1,52,42,0.9164381432894246,0.17776628488864388,0.2764163610366759,0.16407732363636396,0.13460503451883643,0.5618710662504095,0.4634435559955775,42,76,0.21305666585113592,0.9720549664709591,0.3831851719821011,0.700586774916332,0.6118463085984701,0.43046537729981105,0.47439401760687805,0.3098897731051621,normal
77,tcp,http,S0,80041,10072,1,2,2,1,4,1,2,1,2,3,1,2,0,2,1,0,48,88,0.9202042814189951,0.500608683720099,0.19197940276874248,0.39716806133127835,0.8093421749750161,0.40913171775808765,0.45980813309987056,80,75,0.6337785914565751,0.5159672903030734,0.5619611711956284,0.7146988824025647,0.2723851023026381,0.19340626547656103,0.2159506489516182,0.777005460495953,anomaly
13,udp,ftp,SF,118,74382,0,0,0,2,3,1,3,0,2,3,1,1,2,2,1,0,62,93,0.013464406231317838,0.953922477361806,0.6972780938199737,0.5569873954816394,0.22067559729221353,0.5951128089726664,0.5535724312795917,8,18,0.04619173956109668,0.7579850314045474,0.9476897348829513,0.9829351350223599,0.02251455960919202,0.8607801610538007,0.4720315707880056,0.2528843078366999,anomaly
36,udp,ftp,RSTR,28638,69222,1,1,2,2,1,1,3,1,1,4,2,2,2,2,1,1,15,25,0.9003191216633942,0.5776863420172251,0.18855910220032734,0.040994314076888916,0.4165689951433751,0.6008349967526917,0.4154184549121288,24,21,0.10178708528835867,0.32731465116953506,0.6517164375819664,0.1820056618456638,0.25670294648370917,0.09353094924879801,0.14755155917893448,0.9733894253703137,normal
4,icmp,telnet,RSTR,68649,95534,1,1,1,2,0,0,3,0,2,1,0,2,0,0,1,1,79,66,0.9468179182401563,0.40849674918802237,0.09110487937526301,0.6544843906823702,0.016057138230024304,0.21771149386432376,0.2499832313177356,64,7,0.29101059491521397,0.5328607059348555,0.675716743925602,0.4807986288905578,0.5847346072412586,0.8294706829237664,0.1855620714266194,0.7964635212568995,anomaly
21,icmp,http,SF,80301,26775,0,2,0,1,4,0,0,1,0,4,2,1,0,1,1,1,39,67,0.037691796980345194,0.24270031986930174,0.09661506853966184,0.7426079690047855,0.10488154328178212,0.6712085615338034,0.6641207177673373,65,67,0.5756371359822509,0.0068537120777231175,0.24856883716207534,0.8801045442391601,0.1964427124134679,0.8366795761476022,0.8829127654771611,0.9997177229961974,anomaly
27,icmp,http,REJ,83411,84751,1,2,1,2,1,0,3,0,0,0,2,0,2,2,1,0,37,54,0.2941663235080507,0.19590130470644063,0.768393493225718,0.8599702577085612,0.8962719004132516,0.20442379066440408,0.7906333788384025,54,70,0.015982555391149122,0.408818471377416,0.6682951850279847,0.5615126060700008,0.28734517960813344,0.570999265218749,0.11585818060556108,0.4591785633972043,anomaly
3,udp,smtp,SF,18480,93520,1,2,2,2,4,0,4,0,0,4,2,0,2,1,1,0,17,46,0.3731075068161265,0.6584070293788956,0.028737301668104398,0.10277056024930697,0.8371602038404454,0.4899548233953591,0.4789958788445894,44,85,0.48235425757781214,0.5550897864439539,0.3938027441925013,0.8763890254240901,0.7079224600912811,0.6294760514236286,0.2242742800954033,0.5893281849963158,anomaly
49,udp,ssh,REJ,7944,90833,1,2,1,0,1,1,3,0,0,1,2,0,1,1,0,0,22,81,0.3488904720663901,0.8483253174216587,0.28945670483919994,9.359385827234501e-05,0.8409224524551946,0.2598695126299123,0.6494831867145072,32,17,0.6257437487451047,0.5144101634991237,0.9110424845996739,0.434058777392235,0.3983155915707567,0.3580170610844092,0.9955200506216537,0.2804015450910542,normal
28,tcp,http,S0,35022,52400,1,0,1,2,4,1,0,0,2,3,4,0,0,2,0,1,47,58,0.7590032372701891,0.39885592643916357,0.12918640994407682,0.07326636902216233,0.4113534172548571,0.31280102372975105,0.535363281823036,21,5,0.4025227888323295,0.4058196872167559,0.12953884791057713,0.7953514211271494,0.06542538691727184,0.8415842221264224,0.5760185160907866,0.6037445870352405,anomaly
36,icmp,telnet,RSTR,90625,31619,1,1,2,2,3,1,1,1,0,3,3,2,1,1,0,0,81,74,0.358104459223867,0.5506590463732828,0.7549101467995052,0.9241168037861082,0.1415307988516642,0.6138770199960298,0.05899643853710246,41,3,0.06763980747890763,0.7879076637444467,0.28564034966362806,0.8700492990135318,0.39916588422017163,0.263703685561389,0.5858192171594657,0.9739002853454441,normal
34,tcp,smtp,RSTR,48707,29552,0,0,1,1,4,0,3,0,0,0,0,2,2,2,0,1,45,74,0.9565788098947423,0.706726761249039,0.503493085572984,0.765555721041261,0.10789452149431611,0.06448511473780028,0.42308466156413616,75,40,0.6108746351964212,0.5016408266537079,0.06600072864221185,0.8464393697106124,0.9997689648723607,0.5597760636781146,0.8449708764223329,0.03038021516829259,normal
19,udp,smtp,S0,98099,62017,0,1,2,2,4,1,3,1,1,2,0,1,1,2,1,1,21,99,0.994992625304738,0.05829557505557581,0.2054924144976672,0.835435646761167,0.6056027248007154,0.012034815324227455,0.009852499521737279,26,50,0.6058353969144674,0.6361205236459395,0.380903849170001,0.8713650445571817,0.26105153883340837,0.0017948354600553218,0.5243196364889574,0.289288792408791,normal
34,icmp,telnet,S0,55255,24885,0,0,0,1,0,1,1,1,2,4,1,1,2,2,0,1,53,15,0.3168188707062466,0.35089704743618344,0.7504108986512672,0.5170137971659723,0.8281932549086296,0.13062000954764363,0.661879278164758,10,11,0.506042355034503,0.18462113163402682,0.14837266615641098,0.21955469660723348,0.2652565284501831,0.9398431059218522,0.22178195348345475,0.2812941697902931,normal
98,tcp,telnet,RSTR,66769,82945,0,2,1,0,0,0,4,0,2,0,4,0,1,0,0,0,39,57,0.5088007532065069,0.729752889762109,0.7503665091381634,0.5267198745638754,0.900114482140243,0.16870697807449753,0.5081614698846014,41,36,0.69314547559554,0.8615000964111239,0.845143754462411,0.43898413061530606,0.16988641465940224,0.9482965242100742,0.4224665563007842,0.982369865045279,normal
83,udp,http,S0,87178,69948,0,0,0,0,0,0,0,1,2,3,1,0,2,2,0,0,29,88,0.5577058403000075,0.6846190265192719,0.5230226470686506,0.2985055898391845,0.28873165056022654,0.19787296804563392,0.12683153517969692,77,1,0.20780173315328432,0.3628361818896314,0.9250432019891829,0.17457187105845973,0.2716373827012014,0.7104166851470645,0.755001253630462,0.13264938742396226,normal
1,tcp,http,SF,28708,46075,1,0,2,1,4,0,1,1,1,1,0,1,2,2,0,1,54,0,0.5794028299670617,0.05334772441609137,0.2758497870552097,0.8427530519681637,0.32102656983345357,0.7739310702144798,0.5421915320788382,77,2,0.6785407423505577,0.48210363332646256,0.6694256448047158,0.180541177442624,0.5747533034145131,0.42323983185658176,0.87244843844339,0.8123601814300355,normal
57,icmp,smtp,SF,30937,85563,0,2,2,2,3,0,0,0,1,1,0,1,2,1,0,1,55,89,0.3742089941952996,0.23781849837340496,0.5862770992622216,0.8297695830837843,0.10087665686142466,0.4468579670378786,0.8984260030279894,21,44,0.1614547396502526,0.3521947798246464,0.10333459998583927,0.48782730785121353,0.9646021320179259,0.17861110137164293,0.2732038249982952,0.2745538463356443,anomaly
17,tcp,smtp,REJ,58823,74095,1,2,1,1,1,0,1,0,2,2,1,0,0,0,1,1,41,44,0.16599350195882967,0.6799572144450012,0.9335301007541918,0.3921713457221615,0.774409789268012,0.46993613384427213,0.3404907647776182,8,84,0.39269363103478694,0.8919071760071543,0.3416308816224203,0.9600877547092547,0.6076952722725482,0.4924628860403375,0.26197526413919325,0.8606029798781231,normal
93,tcp,ssh,REJ,38399,4650,1,1,1,2,0,0,2,0,0,2,3,2,2,1,0,1,41,93,0.054560541731127676,0.27141604235590455,0.051636387626218805,0.32926707047147385,0.27569027112113886,0.6443341628555435,0.9823687662329664,78,38,0.0675666462785981,0.9007401469622328,0.9644918923479391,0.5919113063011133,0.40984759227776846,0.7914104723472372,0.3276082062077956,0.48775090134031074,normal
55,udp,smtp,REJ,65665,76380,0,1,2,2,2,0,4,0,1,3,1,2,0,1,1,0,61,5,0.10634866564983214,0.8144102939373876,0.26694984662179233,0.7383732712530249,0.48092946956342963,0.7291087684128477,0.9593799067421674,96,76,0.8191273320802067,0.22428434461024305,0.13630122395950028,0.853845096583972,0.3896336290737772,0.605273621844026,0.5962106998561777,0.2422610851523772,normal
63,icmp,telnet,SF,18155,17633,0,0,2,2,4,1,2,0,1,2,3,2,2,2,1,0,81,90,0.9012912375938412,0.02950485919915935,0.28496919539267807,0.026168138337933744,0.9288973045288323,0.003508349553436041,0.7853098424564885,56,53,0.5382334210149409,0.7527145557623336,0.5564893826227965,0.9371839945227338,0.024225884611387638,0.5274965714507587,0.27850906560634514,0.7097330155906459,anomaly
92,tcp,telnet,RSTR,20838,37343,1,0,0,1,3,1,1,0,1,2,3,2,1,0,1,1,52,51,0.2803750066205071,0.19034702929344505,0.6318116635848827,0.8599488985183878,0.7522157303249369,0.8567253358051695,0.8137999778189554,82,77,0.9710492023636883,0.10288354570819924,0.35292947599556257,0.0865753588640713,0.0025423021999002593,0.8494442133266805,0.8931369254605925,0.84158076340469,anomaly
51,udp,ssh,REJ,23154,96029,1,0,0,0,3,1,1,0,2,1,2,2,2,0,1,0,81,18,0.07682298321104453,0.28131298005055816,0.6511643966619473,0.44624798931417287,0.05273789628907177,0.9884348472741084,0.41054536019984234,30,93,0.9423266010770811,0.029850353307798283,0.9991626121528618,0.16206399017954798,0.7971935469795308,0.313133935909371,0.978007588716314,0.47013920921207375,anomaly
21,icmp,ftp,SF,44035,23831,0,2,1,1,0,0,0,1,0,4,0,1,2,2,0,0,52,42,0.6235296995443529,0.9252898348100883,0.20631539494371343,0.44134424654286086,0.008154594459429676,0.12180743223842172,0.40254109529709015,17,17,0.9985611362318517,0.8365841135002119,0.285389064641812,0.2908417801780563,0.49016066251475265,0.8599639702413139,0.6791199224946348,0.7139892757143564,anomaly
92,udp,ftp,RSTR,30294,61439,0,1,1,2,0,0,1,1,1,1,2,1,1,0,1,0,63,18,0.07530715126128529,0.7963189563706656,0.21610059766251066,0.6690778473873946,0.787407925880408,0.6510805836569036,0.9543973582669927,11,12,0.10126617028223972,0.131178145519945,0.04777226528344336,0.6167770679929719,0.03320941303316316,0.43945340273828093,0.9702996960522451,0.18158252392557417,normal
59,icmp,telnet,S0,70809,36877,1,0,1,1,2,1,0,0,1,1,0,0,2,2,1,0,0,38,0.07005293966902426,0.8841450865293177,0.9282126845191695,0.6457493603105314,0.5525002369786957,0.0024137544009764644,0.36619624955364205,39,13,0.606580378536662,0.15478271786099174,0.7021828148246675,0.061729218496091365,0.2860270447903638,0.002413831340989603,0.28785046849926976,0.93761218077816,normal
9,udp,ftp,SF,74233,47131,1,1,1,0,2,0,0,1,2,3,2,1,2,0,1,1,78,31,0.6215705058712215,0.4404791471772874,0.7562988176628109,0.26597406605636675,0.7203344093627009,0.04902948617458236,0.09687288907304326,44,40,0.40757521163416055,0.6065882592940032,0.32673933024410995,0.786654509859468,0.3566818838761985,0.7319420077000686,0.8151703531855431,0.09644950638111949,anomaly
83,udp,ftp,S0,5628,45197,0,1,1,1,0,1,1,1,0,3,3,1,2,0,0,0,68,64,0.5913952441985306,0.8225620912764199,0.9342696985317195,0.9432786045140967,0.1568153218266135,0.2850010200860553,0.15270108819126504,48,39,0.532664587403624,0.8167685165439734,0.6575814339546229,0.06378871692263888,0.783288889983881,0.8778433846451944,0.6784446398447578,0.2219507089713585,anomaly
79,udp,ssh,REJ,45849,61035,0,2,1,0,1,0,0,1,1,4,2,1,1,2,1,1,26,88,0.04147728694996011,0.8534935718467486,0.8296629881626983,0.9863299793326556,0.8720478499706201,0.8464040844196341,0.7103989651929221,0,88,0.3087673660033182,0.18960092004104223,0.1046519868145146,0.1584318075647846,0.43438670319940054,0.4843608390192714,0.26319183066403706,0.28835976607690916,anomaly
5,tcp,smtp,RSTR,25414,57121,0,2,1,0,0,1,4,0,2,0,4,1,2,0,0,0,16,46,0.4604778344369488,0.39995682387499965,0.4021179802636985,0.525989014296185,0.773324979014462,0.6525009014377374,0.38298093508964437,97,90,0.048068838058429875,0.11419223471229956,0.5230632009302512,0.38170786417018787,0.7893001748261949,0.45474786915510546,0.31840728024466736,0.15275300027115202,anomaly
80,tcp,smtp,SF,70254,1782,1,0,1,2,0,1,2,1,2,2,2,0,0,0,0,1,62,12,0.4357683079060346,0.9944618477442527,0.12190763684516814,0.561380798170347,0.8908389140546137,0.44582093197232686,0.1993428397121927,6,86,0.7077502696069947,0.07732234550085304,0.3752315484026477,0.5577198566480276,0.633734050868795,0.8054484255309857,0.4886256665033851,0.40668033217566246,anomaly
5,udp,ftp,REJ,19060,86488,1,0,0,0,3,0,1,0,1,2,2,1,0,0,1,1,40,73,0.546689129702555,0.8512386292158692,0.6295503662567378,0.5543179634236236,0.3410960826574708,0.4385984736023928,0.8137861286830638,1,70,0.9658170738331703,0.0248464115854532,0.5367671339786306,0.881504673940334,0.0331362064160996,0.8847747469561343,0.791643336534515,0.4577360278981032,normal
85,icmp,http,REJ,96,95755,1,0,2,1,0,0,0,1,2,1,2,1,0,1,1,0,57,81,0.7378447104367875,0.9740969687447887,0.3519910622576543,0.48578740817826094,0.27570519528324633,0.46605357435312667,0.48867349067329224,85,47,0.532381826084405,0.11647914985807195,0.8534723979411366,0.9637297785974618,0.9686887040696515,0.9744201057897798,0.8722222692052979,0.5185892575457532,anomaly
81,udp,ssh,RSTR,83883,42167,1,0,2,1,0,0,0,0,2,1,4,0,0,2,1,0,56,35,0.2828000475621941,0.8664971086451655,0.42541199059181856,0.9451870536778255,0.1517314399239269,0.3110331078010038,0.5676412047697843,3,9,0.32957995046189525,0.9426919095686668,0.9727472879612754,0.8846421240448089,0.18143303667532762,0.34565029112059154,0.6339470437515061,0.04079954755561099,normal
95,tcp,ftp,S0,95932,4412,0,0,1,2,0,0,0,1,1,4,0,1,1,1,1,0,95,85,0.43278028358381027,0.776203640255608,0.4258797409440582,0.24475244897741222,0.930088507946997,0.8777145176255143,0.1539493546501064,44,88,0.938278248731973,0.09528251258446185,0.7531321491180031,0.10704465768491978,0.27561956170809176,0.5946887667349846,0.7215763722243298,0.21910606997737925,normal
27,icmp,http,REJ,11058,95592,0,1,2,1,1,1,0,1,2,2,2,0,2,0,0,0,37,69,0.792742684360965,0.9438438734645458,0.9365196216642128,0.10795817625538906,0.1768292035578407,0.5678691311997973,0.19275420141593924,45,53,0.364666529474856,0.5975589740751207,0.7668583152203979,0.63122948525464,0.809294028521325,0.8229183448713002,0.2638495376149723,0.8077632512120207,normal
41,tcp,http,RSTR,12218,94652,1,1,1,2,3,1,4,0,0,1,0,2,0,0,1,1,89,26,0.9225563904605687,0.4198192445845901,0.06886241919259362,0.9295472843248312,0.11931723371150504,0.48394996352585284,0.12585603697380576,83,34,0.9145291927403828,0.9209663889160298,0.5289360897393924,0.4417145721200749,0.1898398640874599,0.53185192352354,0.7410715497781724,0.8106046545697839,anomaly
73,udp,ssh,RSTR,16982,59687,1,2,0,1,4,1,1,1,0,1,1,2,2,1,0,1,65,71,0.8913229730498781,0.7833334334968626,0.1931037614697384,0.2130383142111527,0.19267820898678234,0.46507660315710386,0.5145427992344311,66,23,0.8556908548250707,0.627820140776172,0.09739994385827622,0.12579221811125618,0.4010877837072807,0.46185333319268296,0.6049798129916096,0.3300067517543468,anomaly
